id,church_id,user_id,category,comment_text,created_at
"85f8a61e-4045-4c45-ac58-904be9a76214","ae125cfd-96ef-4324-b1f0-f96a4f34eecf","","Sugestão de Música Nova","Repertório Geral - (Lipe): Teus Altares - Morada/Poiema","2026-08-03T16:33:23+00:00"
"45c48dc1-d4d4-478d-881e-453ba02ca65b","ae125cfd-96ef-4324-b1f0-f96a4f34eecf","","Ajuste de Tom","NOVO DIA - (Igor): 1 tom a baixo","2026-08-08T00:12:14+00:00"
"fbc32048-2c5e-4899-ae8d-f95b8b1756b3","ae125cfd-96ef-4324-b1f0-f96a4f34eecf","","Sugestão de Música Nova","Repertório Geral - (Igor): Coração ensinável INDELEVEL","2026-08-09T18:42:47+00:00"
"2d2ea381-10a6-4552-94dd-4c2e4dce9b14","ae125cfd-96ef-4324-b1f0-f96a4f34eecf","","Sugestão de Música Nova","Repertório Geral - (Coração Ensinável): Indelével Napoli","2026-08-09T19:44:30+00:00"
"611dee8a-9e9a-404f-a529-9aef39526eab","ae125cfd-96ef-4324-b1f0-f96a4f34eecf","","Ajuste de Tom","EIS QUE ESTOU A PORTA - (Igor): Baixar tom temos que ver quantos será necessário","2026-08-10T13:36:59+00:00"
"c01bce49-fb2f-47f6-8fe7-389fc183b26c","ae125cfd-96ef-4324-b1f0-f96a4f34eecf","","Ajuste de Tom","ACREDITO - (Igor): Baixar tom","2026-08-10T13:37:41+00:00"
"ae7ccb99-8c7a-4b09-a872-a90ba8e3b84b","ae125cfd-96ef-4324-b1f0-f96a4f34eecf","","Ajuste de Tom","NOVO DIA - (Igor): Baixar tom","2026-08-10T13:38:37+00:00"
"f19740f6-c5b0-41d6-92c9-8462ba85f5fc","","","Sugestão de Música Nova","Repertório Geral - (teste): 24802888","2026-08-13T09:37:53.450967+00:00"
"a730cff9-3256-463c-be60-0808b0070111","","","Ajuste de Tom","1000 GRAUS - (teste): Ajustar o guia","2026-08-13T09:38:54.072549+00:00"
"81839bab-df83-4623-8c42-f9e8e3c8864b","","","Sugestão de Música Nova","Repertório Geral - (teste): teste","2026-08-13T10:55:07.374347+00:00"
"4f2a7aa8-c945-4c98-bcfc-2f6555d81b31","","","Sugestão de Música Nova","Repertório Geral - (Wallace ): Estações - Dunamis music","2026-08-15T22:17:13.72557+00:00"
"3bbcbe6c-3d85-4ab0-8a00-40a1b403fadd","","","Sugestão de Música Nova","Repertório Geral - (teste): Teste 16/08","2026-08-16T18:36:33.159348+00:00"
"68407783-cc49-4ba9-b3fe-8085b4d6109e","","","Ajuste de Tom","EIS QUE ESTOU A PORTA - (Bruno): Muda o tom","2026-08-16T22:07:54.238616+00:00"
"52c3490a-b110-41a1-acff-e7bb90a5989c","","","Ajuste de Tom","EIS QUE ESTOU A PORTA - (Igor ): Podíamos mudar a música pelo fato de ser dois homens da para colocar gratidão 2 tom baixo oq acham ????","2026-08-16T22:12:48.056978+00:00"
"84eb12ae-2303-47b9-8477-94a451db087a","","","Sugestão de Música Nova","Repertório Geral - (teste): tese 2","2026-08-23T12:04:13.719321+00:00"
"a6a7d7ad-6675-4aa3-990b-5231b28b9666","ae125cfd-96ef-4324-b1f0-f96a4f34eecf","d9db2441-0299-4260-ba5c-e3c2975bede7","Ajuste de Tom","Te Agradeço / Grande É o Senhor / Abra Os Olhos do Meu Coração - (tom ): - tom","2026-08-24T11:50:45.455179+00:00"
"77ee3e58-dc4f-47ae-b543-83d595051b0c","ae125cfd-96ef-4324-b1f0-f96a4f34eecf","d9db2441-0299-4260-ba5c-e3c2975bede7","Escala/Compromissos","Mês Seguinte - (nao estarei livre): dia 18","2026-08-24T11:51:13.061196+00:00"
"e1f4d11b-ace4-4258-86d4-30a659440d2d","","","Sugestão de Música Nova","Repertório Geral - (Wallace ): Questiona ou adora? Lukas Agostino","2026-08-27T00:12:56.81575+00:00"
"e28c85a5-2b00-498a-9de0-ba90a3cf7538","","","Sugestão de Música Nova","Repertório Geral - (Fran do soprano): Lugar Santo Bruna Karla ","2026-08-28T04:59:53.461669+00:00"
"1ac15af2-1ecb-45b1-9049-2452f09ae478","","","Sugestão de Música Nova","Repertório Geral - (Fran do soprano): Tenhas Tudo Fhop","2026-08-28T05:00:36.836209+00:00"
