id,church_id,user_id,category,comment_text,created_at
2d2ea381-10a6-4552-94dd-4c2e4dce9b14,ae125cfd-96ef-4324-b1f0-f96a4f34eecf,,Sugestão de Música Nova,Repertório Geral - (Coração Ensinável): Indelével Napoli,2026-08-09 19:44:30+00
3bbcbe6c-3d85-4ab0-8a00-40a1b403fadd,,,Sugestão de Música Nova,Repertório Geral - (teste): Teste 16/08,2026-08-16 18:36:33.159348+00
45c48dc1-d4d4-478d-881e-453ba02ca65b,ae125cfd-96ef-4324-b1f0-f96a4f34eecf,,Ajuste de Tom,NOVO DIA - (Igor): 1 tom a baixo,2026-08-08 00:12:14+00
4f2a7aa8-c945-4c98-bcfc-2f6555d81b31,,,Sugestão de Música Nova,Repertório Geral - (Wallace ): Estações - Dunamis music,2026-08-15 22:17:13.72557+00
52c3490a-b110-41a1-acff-e7bb90a5989c,,,Ajuste de Tom,EIS QUE ESTOU A PORTA - (Igor ): Podíamos mudar a música pelo fato de ser dois homens da para colocar gratidão 2 tom baixo oq acham ????,2026-08-16 22:12:48.056978+00
611dee8a-9e9a-404f-a529-9aef39526eab,ae125cfd-96ef-4324-b1f0-f96a4f34eecf,,Ajuste de Tom,EIS QUE ESTOU A PORTA - (Igor): Baixar tom temos que ver quantos será necessário,2026-08-10 13:36:59+00
68407783-cc49-4ba9-b3fe-8085b4d6109e,,,Ajuste de Tom,EIS QUE ESTOU A PORTA - (Bruno): Muda o tom,2026-08-16 22:07:54.238616+00
81839bab-df83-4623-8c42-f9e8e3c8864b,,,Sugestão de Música Nova,Repertório Geral - (teste): teste,2026-08-13 10:55:07.374347+00
85f8a61e-4045-4c45-ac58-904be9a76214,ae125cfd-96ef-4324-b1f0-f96a4f34eecf,,Sugestão de Música Nova,Repertório Geral - (Lipe): Teus Altares - Morada/Poiema,2026-08-03 16:33:23+00
a730cff9-3256-463c-be60-0808b0070111,,,Ajuste de Tom,1000 GRAUS - (teste): Ajustar o guia,2026-08-13 09:38:54.072549+00
ae7ccb99-8c7a-4b09-a872-a90ba8e3b84b,ae125cfd-96ef-4324-b1f0-f96a4f34eecf,,Ajuste de Tom,NOVO DIA - (Igor): Baixar tom,2026-08-10 13:38:37+00
c01bce49-fb2f-47f6-8fe7-389fc183b26c,ae125cfd-96ef-4324-b1f0-f96a4f34eecf,,Ajuste de Tom,ACREDITO - (Igor): Baixar tom,2026-08-10 13:37:41+00
f19740f6-c5b0-41d6-92c9-8462ba85f5fc,,,Sugestão de Música Nova,Repertório Geral - (teste): 24802888,2026-08-13 09:37:53.450967+00
fbc32048-2c5e-4899-ae8d-f95b8b1756b3,ae125cfd-96ef-4324-b1f0-f96a4f34eecf,,Sugestão de Música Nova,Repertório Geral - (Igor): Coração ensinável INDELEVEL,2026-08-09 18:42:47+00
